id,d,t,c,session_name,weight,demonstrator
1c1-d3,1,2,5,d1-t2-c5-t-1c1-d-focal,0.1249,19
1c1-i1,1,1,3,d1-t1-c3-t-1c1-i-focal,0.1639,1
1c1-i8,1,1,2,d1-t1-c2-t-1c1-i-focal,0.1369,37
1c2-d3,1,2,5,d1-t2-c5-t-1c2-d-focal,0.1691,43
1c2-d9,1,2,7,d1-t2-c7-t-1c2-d-focal,0.1175,7
1c2-i8,1,2,2,d1-t2-c2-t-1c2-i-focal,0.1273,25
1c3-d4,1,1,4,d1-t1-c4-t-1c3-d-focal,0.1446,31
1c3-i7,1,2,9,d1-t2-c9-t-1c3-i-focal,0.1697,49
1c3-i9,1,1,7,d1-t1-c7-t-1c3-i-focal,0.242,13
1h1-d6,1,2,8,d1-t2-c8-t-1h1-d-focal,0.187,47
1h1-d8,1,1,2,d1-t1-c2-t-1h1-d-focal,0.1216,11
1h1-i3,1,1,5,d1-t1-c5-t-1h1-i-focal,0.1398,29
1h2-d7,1,1,9,d1-t1-c9-t-1h2-d-focal,0.1415,35
1h2-i10,1,2,1,d1-t2-c1-t-1h2-i-focal,0.1123,53
1h2-i2,1,2,10,d1-t2-c10-t-1h2-i-focal,0.1202,17
1h3-d6,1,2,8,d1-t2-c8-t-1h3-d-focal,0.1312,23
1h3-i1,1,2,3,d1-t2-c3-t-1h3-i-focal,0.2647,41
1h3-i3,1,1,5,d1-t1-c5-t-1h3-i-focal,0.1518,5
1l1-d1,1,2,3,d1-t2-c3-t-1l1-d-focal,0.104,15
1l1-d8,1,2,2,d1-t2-c2-t-1l1-d-focal,0.1248,51
1l1-i6,1,1,8,d1-t1-c8-t-1l1-i-focal,0.1195,33
1l2-d10,1,1,1,d1-t1-c1-t-1l2-d-focal,0.1237,39
1l2-d2,1,1,10,d1-t1-c10-t-1l2-d-focal,0.1178,3
1l2-i5,1,2,6,d1-t2-c6-t-1l2-i-focal,0.1326,21
1l3-d1,1,1,3,d1-t1-c3-t-1l3-d-focal,0.1209,27
1l3-i4,1,2,4,d1-t2-c4-t-1l3-i-focal,0.2609,45
1l3-i6,1,1,8,d1-t1-c8-t-1l3-i-focal,0.1207,9
2c1-d7,2,2,9,d2-t2-c9-t-2c1-d-focal,0.1019,50
2c1-d9,2,1,7,d2-t1-c7-t-2c1-d-focal,0.1329,14
2c1-i4,2,1,4,d2-t1-c4-t-2c1-i-focal,0.1579,32
2c2-d1,2,1,3,d2-t1-c3-t-2c2-d-focal,0.1758,2
2c2-d8,2,1,2,d2-t1-c2-t-2c2-d-focal,0.1368,38
2c2-i3,2,2,6,d2-t2-c6-t-2c2-i-focal,0.1724,20
2c3-d8,2,2,2,d2-t2-c2-t-2c3-d-focal,0.1782,26
2c3-i3,2,2,6,d2-t2-c6-t-2c3-i-focal,0.2153,44
2c3-i5,2,2,5,d2-t2-c5-t-2c3-i-focal,0.1307,8
2h1-d1,2,2,3,d2-t2-c3-t-2h1-d-focal,NA,42
2h1-d3,2,1,6,d2-t1-c6-t-2h1-d-focal,0.1617,6
2h1-i6,2,2,8,d2-t2-c8-t-2h1-i-focal,0.1468,24
2h2-d3,2,1,6,d2-t1-c6-t-2h2-d-focal,0.1229,30
2h2-i6,2,2,8,d2-t2-c8-t-2h2-i-focal,0.1876,48
2h2-i8,2,1,2,d2-t1-c2-t-2h2-i-focal,0.1488,12
2h3-d10,2,2,1,d2-t2-c1-t-2h3-d-focal,0.1657,54
2h3-d2,2,2,10,d2-t2-c10-t-2h3-d-focal,0.1453,18
2h3-i7,2,1,9,d2-t1-c9-t-2h3-i-focal,0.1256,36
2l1-d4,2,2,4,d2-t2-c4-t-2l1-d-focal,0.1683,46
2l1-d6,2,1,8,d2-t1-c8-t-2l1-d-focal,0.0923,10
2l1-i9,2,2,7,d2-t2-c7-t-2l1-i-focal,0.132,28
2l2-d6,2,1,8,d2-t1-c8-t-2l2-d-focal,0.1607,34
2l2-i1,2,2,3,d2-t2-c3-t-2l2-i-focal,0.0868,16
2l2-i8,2,2,2,d2-t2-c2-t-2l2-i-focal,0.1549,52
2l3-d1,2,1,3,d2-t1-c3-t-2l3-d-focal,0.1765,22
2l3-i10,2,1,1,d2-t1-c1-t-2l3-i-focal,0.1633,40
2l3-i2,2,1,10,d2-t1-c10-t-2l3-i-focal,0.1696,4
3c2-d2,3,2,10,d3-t2-c10-t-3c2-d-focal,NA,17
3c2-i9,3,2,2,d3-t2-c2-t-3c2-i-focal,0.137,51
3c3-i4,3,2,8,d3-t2-c8-t-3c3-i-focal,NA,45
3c3-i8,3,2,7,d3-t2-c7-t-3c3-i-focal,NA,11
3h1-d3,3,2,5,d3-t2-c5-t-3h1-d-focal,0.2072,19
3h1-i1,3,2,1,d3-t2-c1-t-3h1-i-focal,0.1188,1
3h2-i6,3,2,8,d3-t2-c8-t-3h2-i-focal,NA,47
3h3-d8,3,2,2,d3-t2-c2-t-3h3-d-focal,0.165,25
3h3-i1,3,2,3,d3-t2-c3-t-3h3-i-focal,0.179,41
3h3-i5,3,2,5,d3-t2-c5-t-3h3-i-focal,0.1226,7
3l2-d1,3,2,3,d3-t2-c3-t-3l2-d-focal,0.1088,15
3l2-i8,3,2,9,d3-t2-c9-t-3l2-i-focal,NA,49
3l3-i6,3,2,4,d3-t2-c4-t-3l3-i-focal,0.1108,9
4c1-d4,4,1,3,d4-t1-c3-t-4c1-d-focal,0.0981,46
4c1-d8,4,2,2,d4-t2-c2-t-4c1-d-focal,0.228,12
4c1-i1,4,2,6,d4-t2-c6-t-4c1-i-focal,0.2174,28
4c2-d3,4,2,5,d4-t2-c5-t-4c2-d-focal,0.166,6
4c2-i10,4,2,1,d4-t2-c1-t-4c2-i-focal,0.1303,40
4c2-i6,4,1,8,d4-t1-c8-t-4c2-i-focal,0.1594,24
4c3-d8,4,1,2,d4-t1-c2-t-4c3-d-focal,0.0904,52
4c3-i2,4,1,9,d4-t1-c9-t-4c3-i-focal,0.1967,18
4c3-i6,4,1,6,d4-t1-c6-t-4c3-i-focal,0.135,34
