session_name,day,trial,camera,phase,ID,treatment,information,duration_s,total_time_moving,prop_time_moving,latency_to_moving,mean_velocity_cm,reaction_time_ind1,reaction_distance_from_dems,reaction_time_ind2,reaction_time_ind3,reaction_time_ind4,reaction_time_demonstrators,prop_time_moving_ind2,prop_time_moving_ind3,prop_time_moving_ind4,prop_time_moving_demonstrators,latency_to_moving_ind2,latency_to_moving_ind3,latency_to_moving_ind4,latency_to_moving_demonstrators,total_time_near_edge,prop_time_near_edge,mean_dist_to_edge_cm,total_time_near_demonstrator,prop_time_near_demonstrator,mean_dist_to_top_cm,recovery_time,returned_to_baseline,recovery_similarity_before,recovery_similarity_after,baseline_velocity_mean,baseline_velocity_sd,baseline_prop_moving_mean,baseline_prop_moving_sd,recovery_time_ind2,returned_to_baseline_ind2,baseline_prop_moving_sd_ind2,recovery_time_ind3,returned_to_baseline_ind3,baseline_prop_moving_sd_ind3,recovery_time_ind4,returned_to_baseline_ind4,baseline_prop_moving_sd_ind4,recovery_time_demonstrators,time_near_edge_pre_recovery,time_near_demonstrator_pre_recovery,time_moving_pre_recovery,mean_dist_to_edge_pre_recovery,mean_dist_to_demonstrator_pre_recovery,weight,demonstrator_id,duration_m
d1-t1-TZ1-b-1TX2-d,1,1,1,baseline,1TX2-d,TX,IA,1200,18.5,0.925,0,1.2188137143229862,19,1.0573750353681777,443,188,368,333,0.9241666666666667,0.9791666666666666,0.7983333333333333,0.9005555555555556,0,0,0,0,17.966666666666665,0.8983333333333333,1.6638380337734437,17.133333333333333,0.8566666666666667,2.142769835653758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1237,39,20
d1-t1-TZ1-t-1TX2-d,1,1,1,trial,1TX2-d,TX,IA,5401,42.95,0.47713386409924086,32.016666666666666,0.563125266360634,0,2.0319694459016127,3,1,3,2.3333333333333335,0.5758192927235697,0.6552490279577856,0.6474726902425477,0.6261803369746344,27.35,0.7333333333333333,0,9.361111111111112,55.916666666666664,0.6211812627291242,2.725498001322568,47.666666666666664,0.5295315682281059,3.549989314781292,67.18333333333334,TRUE,0.6057229486504874,0.839269125726835,1.3320752125728732,1.0983455913345945,0.904444444444445,0.2941442258632669,76.05,TRUE,0.2571471385764715,58.333333333333336,TRUE,0.15451032206384774,58.36666666666667,TRUE,0.4343876490388669,64.25,30.95,22.7,20.233333333333334,3.338353868804822,4.481927978715086,0.1237,39,90.01666666666667
d1-t1-TZ10-b-1TX2-d,1,1,10,baseline,1TX2-d,TX,IA,1200,19.016666666666666,0.9508333333333333,0,0.8130356115055641,78,1.0220857686944913,545,8,1055,536,0.9683333333333334,0.9633333333333334,0.9791666666666666,0.9702777777777778,0,0,0,0,14.583333333333334,0.7291666666666666,2.232492966450164,13.266666666666667,0.6633333333333333,3.227182334545803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1178,3,20
d1-t1-TZ10-t-1TX2-d,1,1,10,trial,1TX2-d,TX,IA,5401,21.266666666666666,0.23625254582484725,33.56666666666667,0.2955113432656653,5,5.836143774540095,0,6,4,3.3333333333333335,0.2547676356230328,0.4836141455286058,0.14330679503795593,0.29389619206319817,8.833333333333334,24.416666666666668,54.733333333333334,29.32777777777778,88.98333333333333,0.988520644325125,1.2759370366410603,73.61666666666666,0.8178115163858545,1.6900153269785614,76.75,TRUE,0.5222381836755806,0.8450104362918884,0.8452353629631797,0.7827671494267835,0.9577777777777774,0.2012075767418484,NA,FALSE,0.20120757674184758,76.61666666666666,TRUE,0.16758737162718573,NA,FALSE,0.1644269232098492,76.61666666666666,75.51666666666667,61.3,9.133333333333333,1.236942690346051,1.6251555763088594,0.1178,3,90.01666666666667
d1-t1-TZ2-b-1TZ1-i,1,1,2,baseline,1TZ1-i,TZ,IB,1200,10.4,0.52,0,0.4229700553564886,69,1.2074281156077102,104,98,241,147.66666666666666,0.8183333333333334,0.355,0.8341666666666666,0.6691666666666667,0,0,0,0,14.216666666666667,0.7108333333333333,2.6640980711041706,12,0.6,4.561809937355851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1369,37,20
d1-t1-TZ2-b-1TY1-d,1,1,2,baseline,1TY1-d,TY,IA,1200,19.716666666666665,0.9858333333333333,0,1.1567744349665845,201,1.0127688836584665,443,15,71,176.33333333333331,0.9941666666666666,0.6641666666666667,0.8941666666666667,0.8508333333333333,0,0.43333333333333335,0,0.14444444444444446,19.4,0.97,1.3330766534746787,19.383333333333333,0.9691666666666666,1.3344893422136461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1216,11,20
d1-t1-TZ2-t-1TZ1-i,1,1,2,trial,1TZ1-i,TZ,IB,5401,26.916666666666668,0.29901870024069616,24.8,0.29748613435341575,0,1.235924485611438,15,0,0,5,0.10738752082947603,0.4088131827439363,0.38715052768005925,0.30111707708449054,47.86666666666667,35.46666666666667,31.9,38.41111111111111,69.8,0.7754119607480097,2.166706645809124,66.28333333333333,0.7363451212738382,2.544012222906413,26.383333333333333,TRUE,0.8060030127573751,0.839460874044632,0.3158761046950983,0.49089601760408735,0.39444444444444376,0.48900277883774945,NA,FALSE,0.2939930612496888,38.3,TRUE,0.4899602733618635,NA,FALSE,0.4059424491607789,38.3,24.65,24.65,0.3333333333333333,1.2378844589188653,1.2378844589188653,0.1369,37,90.01666666666667
d1-t1-TZ2-t-1TY1-d,1,1,2,trial,1TY1-d,TY,IA,5401,40.666666666666664,0.45176819107572674,3.9166666666666665,0.4400125820071304,3,1.3220440340691169,0,3,0,1,0.44584336234030736,0.38122569894463987,0.4075171264580633,0.4115287292476702,30.116666666666667,34.56666666666667,39.06666666666667,34.583333333333336,43.81666666666667,0.48676171079429736,2.794081682764533,42.5,0.4721347898537308,3.146414968275438,75.45,TRUE,0.7187518711844213,0.8880699315031051,1.184786594393052,1.043648400036612,0.9922222222222221,0.08789691831157503,78.2,TRUE,0.06655533900758186,60.93333333333333,TRUE,0.473215347173352,NA,FALSE,0.19606813643937002,69.56666666666666,29.016666666666666,27.716666666666665,25,3.0536749314456753,3.4670793709005365,0.1216,11,90.01666666666667
d1-t1-TZ3-b-1TZ1-i,1,1,3,baseline,1TZ1-i,TZ,IB,1200,14.583333333333334,0.7291666666666666,0,0.642535236589839,21,2.3478429204889597,14,9,622,215,0.9708333333333333,0.9325,0.9475,0.9502777777777778,0,0,0,0,15.816666666666666,0.7908333333333334,1.893205065324465,13.433333333333334,0.6716666666666666,3.5523038033465832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1639,1,20
d1-t1-TZ3-b-1TX3-d,1,1,3,baseline,1TX3-d,TX,IA,1200,17.85,0.8925,1.15,1.4678680627529404,0,1.2160056193524988,0,0,6,2,0.8291666666666667,0.6366666666666667,0.8508333333333333,0.7722222222222223,0.6666666666666666,1.1333333333333333,1.6333333333333333,1.1444444444444446,18.75,0.9375,1.2127916502462213,18.216666666666665,0.9108333333333334,1.4494050084210937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1209,27,20
