Reference,Sample Description,Sample No.,Replicate,Date Sampled,Amitriptyline (ng/L)
PFG0596,1c1-2,1,0,8/6/2024,<10
PFG0596,2c3-2,2,0,9/6/2024,<10
PFG0596,3c2-2,3,0,10/6/2024,<10
PFG0596,1c1-3,4,0,11/6/2024,<10
PFG0596,4c2-2,5,0,11/6/2024,<10
PFG0596,2c3-3,6,0,12/6/2024,<10
PFG0596,5c2-2,7,0,12/6/2024,<10
PFG0596,3c2-3,8,0,13/6/2024,<10
PFG0596,6c3-2,9,0,13/6/2024,<10
PFG0596,4c2-3,10,0,14/6/2024,<10
PFG0596,5c2-3,11,0,15/6/2024,<10
PFG0596,6c3-3,12,0,16/6/2024,<10
PFG0596,1l3-1,13,0,5/6/2024,43
PFG0596,2l1-1,14,0,6/6/2024,<10
PFG0596,3l2-1,15,0,7/6/2024,81
PFG0596,1l3-2,16,0,8/6/2024,<10
PFG0596,4l2-1,17,0,8/6/2024,68
PFG0596,2l1-2,18,0,9/6/2024,16
PFG0596,5l3-1,19,0,9/6/2024,56
PFG0596,3l2-2,20,0,10/6/2024,22
PFG0596,6l2-1,21,0,10/6/2024,88
PFG0596,1l3-3,22,0,11/6/2024,<10
PFG0596,4l2-2,23,0,11/6/2024,18
PFG0596,2l1-3,24,0,12/6/2024,15
PFG0596,5l3-2,25,0,12/6/2024,11
PFG0596,3l2-3,26,0,13/6/2024,17
PFG0596,6l2-2,27,0,13/6/2024,21
PFG0596,4l2-3,28,0,14/6/2024,17
PFG0596,5l3-3,29,0,15/6/2024,16
PFG0596,6l2-3,30,0,16/6/2024,23
PFG0596,1h2-1,31,0,5/6/2024,350
PFG0596,2h3-1,32,0,6/6/2024,180
PFG0596,3h1-1,33,0,7/6/2024,290
PFG0596,1h2-2,34,0,8/6/2024,140
PFG0596,4h3-1,35,0,8/6/2024,290
PFG0596,2h3-2,36,0,9/6/2024,45
PFG0596,5h1-1,37,0,9/6/2024,530
PFG0596,3h1-2,38,0,10/6/2024,88
PFG0596,6h3-1,39,0,10/6/2024,200
PFG0596,1h2-3,40,0,11/6/2024,200
PFG0596,4h3-2,41,0,11/6/2024,56
PFG0596,2h3-3,42,0,12/6/2024,59
PFG0596,5h1-2,43,0,12/6/2024,120
PFG0596,3h1-3,44,0,13/6/2024,85
PFG0596,6h3-2,45,0,13/6/2024,37
PFG0596,4h3-3,46,0,14/6/2024,67
PFG0596,5h1-3,47,0,15/6/2024,98
PFG0596,6h3-3,48,0,16/6/2024,67
